year,SSP1-1.9,SSP1-2.6,SSP2-4.5,SSP3-3.4,SSP3-7.0,SSP4-3.4,SSP4-6.0,SSP5-8.5,,,,total 1-1.9,total 1-2.6,total 2-4.5,total 3-3.4,total 3-7.0,total 4-3.4,total 4-6.0,total 5-8.5
1784,-3.793,-3.793,-3.793,-3.793,-3.793,-3.793,-3.793,-3.793,,,,-3.793290364,-3.793290364,-3.793290364,-3.793290364,-3.793290364,-3.793290364,-3.793290364,-3.793290364
1785,-1.433,-1.433,-1.433,-1.433,-1.433,-1.433,-1.433,-1.433,,,,-1.433210736,-1.433210736,-1.433210736,-1.433210736,-1.433210736,-1.433210736,-1.433210736,-1.433210736
1786,-0.517,-0.517,-0.517,-0.517,-0.517,-0.517,-0.517,-0.517,,,,-0.516540805,-0.516540805,-0.516540805,-0.516540805,-0.516540805,-0.516540805,-0.516540805,-0.516540805
1787,-0.071,-0.071,-0.071,-0.071,-0.071,-0.071,-0.071,-0.071,,,,-0.070764555,-0.070764555,-0.070764555,-0.070764555,-0.070764555,-0.070764555,-0.070764555,-0.070764555
1788,0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.193,,,,0.19344015,0.19344015,0.19344015,0.19344015,0.19344015,0.19344015,0.19344015,0.19344015
1789,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,,,,0.353091322,0.353091322,0.353091322,0.353091322,0.353091322,0.353091322,0.353091322,0.353091322
1790,0.406,0.406,0.406,0.406,0.406,0.406,0.406,0.406,,,,0.405633685,0.405633685,0.405633685,0.405633685,0.405633685,0.405633685,0.405633685,0.405633685
1791,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,,,,0.409865707,0.409865707,0.409865707,0.409865707,0.409865707,0.409865707,0.409865707,0.409865707
1792,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,0.39996435,0.39996435,0.39996435,0.39996435,0.39996435,0.39996435,0.39996435,0.39996435
1793,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,,,,0.371122258,0.371122258,0.371122258,0.371122258,0.371122258,0.371122258,0.371122258,0.371122258
1794,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,,,,0.324059357,0.324059357,0.324059357,0.324059357,0.324059357,0.324059357,0.324059357,0.324059357
