year,wmghg_data,solar_data,volc_data, landuse_data,manaero_data
850.0,-0.00723149,-0.0276,0.0,0.032743999999999995,0.0
851.0,-0.0071832699,-0.01709999999999999,0.0,0.0327302,0.0
852.0,-0.0071521823000000005,0.007400000000000004,0.0,0.0327164,0.0
853.0,-0.0071419768,0.038900000000000004,0.0,0.0327026,0.0
854.0,-0.0072202646,0.055,0.0,0.0326887,0.0
855.0,-0.0073175507,0.0736,-1.74764,0.0326749,0.0
856.0,-0.0073699970000000005,0.05790000000000001,-1.02901,0.0326611,0.0
857.0,-0.007872347,0.0391,-0.191975,0.0326473,0.0
858.0,-0.008038003,0.024800000000000003,-0.0328954,0.032633499999999996,0.0
859.0,-0.008224554,0.0022999999999999965,-0.00551787,0.0326197,0.0
860.0,-0.008432,-0.013799999999999993,-0.000404227,0.0326059,0.0
861.0,-0.00866035,-0.0271,0.0,0.032591999999999996,0.0
862.0,-0.0089058,-0.019199999999999995,0.0,0.0325782,0.0
863.0,-0.00923795,0.006000000000000005,0.0,0.03256439999999999,0.0
864.0,-0.00951952,0.038000000000000006,0.0,0.0325506,0.0
865.0,-0.00981439,0.054400000000000004,0.0,0.0325368,0.0
866.0,-0.01019222,0.07300000000000001,0.0,0.032522999999999996,0.0
867.0,-0.01051563,0.057300000000000004,0.0,0.032509199999999995,0.0
868.0,-0.010918230000000001,0.0383,0.0,0.0324953,0.0
869.0,-0.01133037,0.0237,0.0,0.032481499999999996,0.0
870.0,-0.011686160000000001,0.0006000000000000033,0.0,0.032467699999999995,0.0
871.0,-0.01211738,-0.016,-1.71624,0.032453899999999994,0.0
872.0,-0.012554349999999999,-0.030100000000000002,-1.0397,0.0324401,0.0
873.0,-0.01293114,-0.0208,-0.195253,0.0324263,0.0
874.0,-0.0133796,0.0022000000000000075,-0.0335073,0.0324125,0.0
875.0,-0.013831920000000001,0.0315,-0.00562259,0.0323986,0.0
876.0,-0.014286199999999999,0.046200000000000005,-0.000405819,0.0323848,0.0
877.0,-0.0151039,0.063,0.0,0.032371,0.0
878.0,-0.01549228,0.0473,-0.273786,0.032357199999999996,0.0
879.0,-0.01594862,0.028700000000000003,-0.182114,0.032343399999999994,0.0
880.0,-0.01640122,0.014200000000000004,-0.0348947,0.0323296,0.0
881.0,-0.01685008,-0.008199999999999999,-0.0060152,0.0323158,0.0
882.0,-0.017295190000000002,-0.02439999999999999,-0.0010105,0.032302,0.0
883.0,-0.01766669,-0.03810000000000001,-6.97058e-05,0.0322881,0.0
884.0,-0.018098589999999998,-0.028399999999999995,0.0,0.0322743,0.0
885.0,-0.01852299,-0.007599999999999996,0.0,0.0322605,0.0
886.0,-0.018937990000000002,0.019000000000000003,0.0,0.032246699999999996,0.0
887.0,-0.01927539,0.0325,0.0,0.032232899999999995,0.0
888.0,-0.01966959,0.048,0.0,0.0322191,0.0
