year,SSP1-2.6,SSP5-8.5,,,,,total,total
1914,0.154,0.154,,,,,0.153958609593459,0.153958609593459
1915,0.382,0.382,,,,,0.382038487200863,0.382038487200863
1916,0.422,0.422,,,,,0.421617774911794,0.421617774911794
1917,0.434,0.434,,,,,0.434293350798798,0.434293350798798
1918,0.449,0.449,,,,,0.449111939479283,0.449111939479283
1919,0.489,0.489,,,,,0.488735541160009,0.488735541160009
1920,0.43,0.43,,,,,0.429874157224281,0.429874157224281
1921,0.494,0.494,,,,,0.493895451236013,0.493895451236013
1922,0.341,0.341,,,,,0.340817383086549,0.340817383086549
1923,0.36,0.36,,,,,0.359556786228573,0.359556786228573
1924,0.465,0.465,,,,,0.465389724384107,0.465389724384107
1925,0.489,0.489,,,,,0.489350355682275,0.489350355682275
1926,0.506,0.506,,,,,0.506467455056761,0.506467455056761
1927,0.507,0.507,,,,,0.506875366308973,0.506875366308973
1928,0.453,0.453,,,,,0.452696746600377,0.452696746600377
1929,0.225,0.225,,,,,0.224766680644475,0.224766680644475
1930,0.478,0.478,,,,,0.477797214346462,0.477797214346462
1931,0.535,0.535,,,,,0.534851090487314,0.534851090487314
1932,0.379,0.379,,,,,0.37943754223044,0.37943754223044
1933,0.511,0.511,,,,,0.510727918598949,0.510727918598949
1934,0.518,0.518,,,,,0.51799847308973,0.51799847308973
1935,0.528,0.528,,,,,0.528004936238453,0.528004936238453
1936,0.562,0.562,,,,,0.561884802635581,0.561884802635581
1937,0.554,0.554,,,,,0.554261753182864,0.554261753182864
1938,0.602,0.602,,,,,0.60173020730031,0.60173020730031
1939,0.57,0.57,,,,,0.57032141391451,0.57032141391451
1940,0.521,0.521,,,,,0.520841138337772,0.520841138337772
1941,0.502,0.502,,,,,0.501564329360191,0.501564329360191
1942,0.475,0.475,,,,,0.475286256026022,0.475286256026022
1943,0.465,0.465,,,,,0.464872712466813,0.464872712466813
1944,0.488,0.488,,,,,0.487595560302761,0.487595560302761
1945,0.604,0.604,,,,,0.604181381486513,0.604181381486513
1946,0.641,0.641,,,,,0.640887058322145,0.640887058322145
1947,0.641,0.641,,,,,0.640581886439904,0.640581886439904
1948,0.63,0.63,,,,,0.630054711959746,0.630054711959746
1949,0.665,0.665,,,,,0.665480598379133,0.665480598379133
1950,0.588,0.588,,,,,0.587848310529736,0.587848310529736
1951,0.552,0.552,,,,,0.552024615629804,0.552024615629804
1952,0.538,0.538,,,,,0.538355436923028,0.538355436923028
1953,0.52,0.52,,,,,0.520261174132122,0.520261174132122
1954,0.526,0.526,,,,,0.525887364453035,0.525887364453035
1955,0.521,0.521,,,,,0.520844444515006,0.520844444515006
1956,0.541,0.541,,,,,0.541069873174516,0.541069873174516
1957,0.575,0.575,,,,,0.574587491392714,0.574587491392714
1958,0.614,0.614,,,,,0.613839973826166,0.613839973826166
1959,0.576,0.576,,,,,0.57602812446895,0.57602812446895
1960,0.537,0.537,,,,,0.536675799725466,0.536675799725466
1961,0.464,0.464,,,,,0.463667642558856,0.463667642558856
1962,0.264,0.264,,,,,0.264327856647978,0.264327856647978
1963,-0.669,-0.669,,,,,-0.668736887612652,-0.668736887612652
1964,-0.396,-0.396,,,,,-0.396074819002629,-0.396074819002629
1965,-0.077,-0.077,,,,,-0.076894153352949,-0.076894153352949
1966,0.416,0.416,,,,,0.415946173122403,0.415946173122403
1967,0.19,0.19,,,,,0.189793860895515,0.189793860895515
1968,0.332,0.332,,,,,0.331746198724609,0.331746198724609
1969,0.437,0.437,,,,,0.436893927070503,0.436893927070503
1970,0.419,0.419,,,,,0.418944029116874,0.418944029116874
1971,0.285,0.285,,,,,0.284737261149823,0.284737261149823
1972,0.392,0.392,,,,,0.392233069028374,0.392233069028374
1973,0.548,0.548,,,,,0.547735049819863,0.547735049819863
1974,0.456,0.456,,,,,0.455921294021705,0.455921294021705
1975,0.264,0.264,,,,,0.263639935178371,0.263639935178371
1976,0.495,0.495,,,,,0.494557868565099,0.494557868565099
1977,0.663,0.663,,,,,0.663437129246077,0.663437129246077
1978,0.786,0.786,,,,,0.786271638594812,0.786271638594812
1979,0.844,0.844,,,,,0.843821740440933,0.843821740440933
1980,0.858,0.858,,,,,0.857550522571526,0.857550522571526
1981,0.91,0.91,,,,,0.91034216300612,0.91034216300612
1982,0.53,0.53,,,,,0.53003972178417,0.53003972178417
1983,0.192,0.192,,,,,0.192163227402298,0.192163227402298
1984,0.632,0.632,,,,,0.632302488385552,0.632302488385552
1985,0.918,0.918,,,,,0.918400386825284,0.918400386825284
1986,0.972,0.972,,,,,0.972051479625749,0.972051479625749
1987,1.072,1.072,,,,,1.07221869222474,1.07221869222474
1988,1.242,1.242,,,,,1.24235855367021,1.24235855367021
1989,1.408,1.408,,,,,1.40777934802107,1.40777934802107
1990,1.416,1.416,,,,,1.41618514460756,1.41618514460756
1991,0.654,0.654,,,,,0.654347199421066,0.654347199421066
1992,-0.397,-0.397,,,,,-0.39680356970908,-0.39680356970908
1993,0.567,0.567,,,,,0.566546789532499,0.566546789532499
1994,1.228,1.228,,,,,1.22849420069283,1.22849420069283
1995,1.517,1.517,,,,,1.51674825687423,1.51674825687423
1996,1.642,1.642,,,,,1.64210301198028,1.64210301198028
1997,1.559,1.559,,,,,1.55895898086689,1.55895898086689
1998,1.7,1.7,,,,,1.69994097218484,1.69994097218484
1999,1.934,1.934,,,,,1.93355022574648,1.93355022574648
2000,2.026,2.026,,,,,2.02557893057251,2.02557893057251
2001,2.042,2.042,,,,,2.04229341328736,2.04229341328736
2002,2.007,2.007,,,,,2.00722302833322,2.00722302833322
2003,1.935,1.935,,,,,1.93456912413338,1.93456912413338
2004,1.957,1.957,,,,,1.95740357682401,1.95740357682401
2005,1.904,1.904,,,,,1.90430929551338,1.90430929551338
2006,1.885,1.885,,,,,1.88466986643859,1.88466986643859
